,unique_songs,counts
616,Daryl Hall & John Oates__You Make My Dreams,605
617,David Guetta__Dangerous (feat. Sam Martin),605
618,Tegan And Sara__Closer,605
619,Mazzy Star__Fade Into You,604
620,Metallica__Nothing Else Matters,603
621,Young the Giant__My Body,603
622,Blue Oyster Cult__(Don't Fear) The Reaper,603
623,Disclosure__F For You,603
624,Usher__Yeah!,602
625,Michael Jackson__P.Y.T. (Pretty Young Thing),602
626,Coldplay__Don't Panic,602
627,Maroon 5__This Love,601
628,Tiësto__Red Lights,601
629,Wham!__Wake Me up Before You Go-Go,601
630,David Guetta__Lovers on the Sun (feat. Sam Martin),601
631,Far East Movement__Like A G6,600
632,Coldplay__Speed Of Sound,599
633,Django Django__Default,599
634,Eminem__The Real Slim Shady,598
635,Metric__Help I'm Alive,598
636,David Guetta__Where Them Girls At (feat. Nicki Minaj & Flo Rida),596
637,Arctic Monkeys__Mardy Bum,596
638,Lana Del Rey__Blue Jeans,596
639,The Hives__Hate To Say I Told You So,596
640,Coldplay__In My Place,596
641,Noah And The Whale__5 Years Time,594
642,Wham!__Last Christmas - Single Version,593
643,Ed Sheeran__Give Me Love,592
644,Nirvana__Rape Me,592
645,Queen__We Will Rock You,591
646,Little Dragon__Ritual Union,591
647,The Killers__Read My Mind,591
648,Ellie Goulding__Lights,591
649,Green Day__21 Guns,591
650,Disclosure__When A Fire Starts To Burn,591
651,One Direction__Story of My Life,590
652,Blondie__Heart Of Glass,590
653,Lady Gaga__Do What U Want,589
654,Flo Rida__Club Can't Handle Me - feat. David Guetta,589
655,Bruce Springsteen__Born in the U.S.A.,589
656,Third Eye Blind__Semi-Charmed Life,588
657,Nine Inch Nails__Closer,588
658,Rihanna__Rude Boy,588
659,The National__Bloodbuzz Ohio,587
660,Arcade Fire__Afterlife,587
661,Evanescence__Bring Me To Life,587
662,Bon Jovi__It's My Life,586
663,Tom Odell__Another Love,586
664,The Verve__Bitter Sweet Symphony,585
665,Justin Timberlake__Rock Your Body,585
666,"Fall Out Boy__Sugar, We're Goin Down",584
667,Ariana Grande__Love Me Harder,583
668,Calvin Harris__We'll Be Coming Back,583
669,Massive Attack__Paradise Circus,582
670,David Guetta__When Love Takes Over (feat. Kelly Rowland),582
671,Caribou__Odessa,582
672,Ace of Base__All That She Wants,581
673,blink-182__I Miss You,581
674,Ed Sheeran__Lego House,581
675,Keane__Everybody's Changing,580
676,Phantogram__Don't Move,580
677,Enrique Iglesias__Bailando - Spanish Version,579
678,Bob Marley & The Wailers__Is This Love,578
679,Warren G__Regulate,578
680,Pretty Lights__Finally Moving,577
681,Daft Punk__Digital Love,577
682,Kendrick Lamar__m.A.A.d city,577
683,Queen__Under Pressure - Remastered 2011,577
684,Damien Rice__The Blower's Daughter,577
685,Phosphorescent__Song For Zula,576
686,4 Non Blondes__What's Up?,575
687,Eagles__Hotel California,575
688,Katrina & The Waves__Walking On Sunshine,575
689,3 Doors Down__Kryptonite,574
690,The Outfield__Your Love,574
691,Adele__Rolling in the Deep,574
692,alt-J__Left Hand Free,574
693,Walk the Moon__Anna Sun,573
694,Kenny Loggins__Footloose,573
695,Dexys Midnight Runners__Come On Eileen,573
696,Bob Dylan__Like a Rolling Stone,572
697,Kendrick Lamar__i,572
698,Mumford & Sons__Roll Away Your Stone,572
699,Childish Gambino__Heartbeat,572
700,Tove Lo__Habits (Stay High),572
701,The Strokes__You Only Live Once,572
